symbol,name,reason
اراد2174,مرابحه دولت عام217-ش.خ.070228,blacklist_name
اراد2304,مرابحه عام دولت230-ش.خ070628,blacklist_name
اراد2394,مرابحه عام دولت239-ش.خ070922,blacklist_name
اراد2044,مرابحه عام دولت204-ش.خ060707,blacklist_name
اراد2144,مرابحه عام دولت214-ش.خ061120,blacklist_name
اراد2204,مرابحه دولت عام220-ش.خ070303,blacklist_name
اراد2194,مرابحه دولت عام219-ش.خ061003,blacklist_name
اراد2484,مرابحه عام دولت248-ش.خ060727,blacklist_name
اراد1624,مرابحه عام دولت162-ش.خ050329,blacklist_name
اراد1984,مرابحه عام دولت198-ش.خ060524,blacklist_name
اراد1974,مرابحه عام دولت197-ش.خ060324,blacklist_name
اراد1814,مرابحه عام دولت181-ش.خ050424,blacklist_name
عيار,صندوق طلاي عيار مفيد,blacklist_name
اراد2024,مرابحه عام دولت202-ش.خ060530,blacklist_name
اراد2234,مرابحه عام دولت223-ش.خ070431,blacklist_name
اراد2404,مرابحه عام دولت240-ش.خ060929,blacklist_name
اراد1734,مرابحه عام دولت173-ش.خ050620,blacklist_name
اراد904,مرابحه عام دولت90-ش.خ050217,blacklist_name
اراد2364,مرابحه عام دولت236-ش.خ070815,blacklist_name
اراد2164,مرابحه عام دولت216-ش.خ.061128,blacklist_name
تابان27,اجاره تابان فردا تمدن14080919,no_signals_or_low_gain
كارا,صندوق س. كارا -د,blacklist_name
فيروزا,صندوق ارمغان فيروزه آسيا-ثابت,blacklist_name
آوند,صندوق س. آوند مفيد-د,blacklist_name
ياقوت,صندوق س ياقوت آگاه-ثابت,blacklist_name
اراد229,مرابحه عام دولت229-ش.خ061028,blacklist_name
اراد238,مرابحه عام دولت238-ش.خ061022,blacklist_name
اراد1714,مرابحه عام دولت171-ش.خ060316,blacklist_name
اراد2294,مرابحه عام دولت229-ش.خ061028,blacklist_name
كيان,صندوق س. با درآمد ثابت كيان,blacklist_name
طلا,صندوق س.پشتوانه طلاي لوتوس,blacklist_name
پاسارگاد,صندوق س.درآمد ثابت پاسارگاد-د,blacklist_name
اهرم,صندوق س سهامي كاريزما- اهرمي,blacklist_name
افران,صندوق س افرا نماد پايدار-ثابت,blacklist_name
لبخند,صندوق س. لبخند فارابي-د,blacklist_name
اراد2184,مرابحه دولت عام218-ش.خ070328,blacklist_name
اونيكس,ص.س.درآمد ثابت كيميا-د,blacklist_name
اراد994,مرابحه عام دولت99-ش.خ050723,blacklist_name
سپر,صندوق س سپر سرمايه بيدار- ثابت,blacklist_name
فردا,صندوق س آواي فرداي زاگرس-ثابت,blacklist_name
موج,ص.س.اهرمي موج فيروزه-س,blacklist_name
اعتماد,صندوق س.اعتماد آفرين پارسيان-د,blacklist_name
كارا4,صندوق س. كارا -د,blacklist_name
ثبات,صندوق س. ثبات ويستا -د,blacklist_name
ماهور,صندوق سرمايه گذاري ماهور-ثابت,blacklist_name
كارين,صندوق س نگين سامان-ثابت,blacklist_name
دارا يكم,صندوق واسطه گري مالي يكم-سهام,blacklist_name
كهربا,صندوق س.پشتوانه سكه طلا كهربا,blacklist_name
مثقال,صندوق س.پشتوانه طلاي زرين آگاه,blacklist_name
فزر,پويا زركان آق دره,no_signals_or_low_gain
اركيده,صندوق سرمايه گذاري اركيده-ثابت,blacklist_name
توان,صندوق س. اهرمي توان مفيد-س,blacklist_name
پالايش,صندوق پالايشي يكم-سهام,blacklist_name
گنج,صندوق س. طلا كيميا زرين كاردان,blacklist_name
ريتون,صندوق س.پشتوانه طلاجام زرينپاد,blacklist_name
كمند,صندوق س. با درآمد ثابت كمند,blacklist_name
دامون,ص.س. درآمد ثابت آسمان دامون-د,blacklist_name
كاج,صندوق س. نوع دوم نو ويرا -د,blacklist_name
تداوم,صندوق تداوم اطمينان تمدن-ثابت,blacklist_name
گام050617,گواهي اعتبارمولد ملي14050631,no_signals_or_low_gain
فولاد,فولاد مباركه اصفهان,no_signals_or_low_gain
ثمر,صندوق س ثمرگندم-ثابت,blacklist_name
فملي,ملي‌ صنايع‌ مس‌ ايران‌,no_signals_or_low_gain
اعتبار,صندوق س. نوع دوم اعتبار-د,blacklist_name
جهش,صندوق سهامي جهش فارابي-اهرمي,blacklist_name
گوهر,صندوق طلاي كيان,blacklist_name
درين,صندوق س. درين بها بازار-د,blacklist_name
پاداش,صندوق س. ارزش پاداش-د,blacklist_name
سپر4,صندوق س سپر سرمايه بيدار- ثابت,blacklist_name
آلتون,صندوق س.پشتوانه طلاآسمان آلتون,blacklist_name
هماي,صندوق س هماي آگاه-ثابت,blacklist_name
نوري,پتروشيمي نوري,no_signals_or_low_gain
توسكا,صندوق س توسعه فولاد- ثابت,blacklist_name
كارآمد,صندوق س.درآمد ثابت كارآمد-د,blacklist_name
اراد2114,مرابحه عام دولت211-ش.خ050528,blacklist_name
بانيان,نيان باتري خاوران,no_signals_or_low_gain
آتش,صندوق س.پشتوانه طلا آتش فيروزه,blacklist_name
درخشان,صندوق س.پشتوانه طلادرخشان آبان,blacklist_name
سكه0312پ01,تمام سكه طرح جديد0312 رفاه,no_signals_or_low_gain
شبندر,پالايش نفت بندرعباس,no_signals_or_low_gain
صاميا511,صكوك مرابحه خزاميا511-3ماهه18%,blacklist_name
نشان,صندوق س. نشان هامرز-د,blacklist_name
نارنج اهرم,ص.س. اهرمي نارنج-س,blacklist_name
كامياب,صندوق س. كامياب آشنا-د,blacklist_name
وشهر2,بانك شهر,no_signals_or_low_gain
شتران,پالايش نفت تهران,no_signals_or_low_gain
ستاره,ص.س.ستاره پايدارسپهر-د,blacklist_name
بيدار,صندوق س سهامي بيدار-اهرمي,blacklist_name
فارس,صنايع پتروشيمي خليج فارس,no_signals_or_low_gain
اعتماد4,صندوق س.اعتماد آفرين پارسيان-د,blacklist_name
رز ترنج,صندوق س.پشتوانه طلاي رز,blacklist_name
شستا,سرمايه گذاري تامين اجتماعي,no_signals_or_low_gain
صنهال,صندوق س. نهال ايرانيان-ثابت,blacklist_name
طلا4,صندوق س.پشتوانه طلاي لوتوس,blacklist_name
ناب,صندوق س.پشتوانه طلا نهايت نگر,blacklist_name
جواهر,صندوق س.پشتوانه طلا دناي زاگرس,blacklist_name
پايا,صندوق س.پايا قلك پويا-د,blacklist_name
شتاب,صندوق س سهامي شتاب آگاه-اهرمي,blacklist_name
كيان4,صندوق س. با درآمد ثابت كيان,blacklist_name
يارا,صندوق س. آريا-د,blacklist_name
پارسان,گسترش نفت و گاز پارسيان,no_signals_or_low_gain
سخوز2,سيمان خوزستان,no_signals_or_low_gain
عيار4,صندوق طلاي عيار مفيد,blacklist_name
اراد225,مرابحه عام دولت225-ش.خ060814,blacklist_name
ليان,صندوق س.پشتوانه طلاي ليان,blacklist_name
كوچين,توليدي كوچين,no_signals_or_low_gain
اوصتا,صندوق انديشه ورزان صباتامين -د,blacklist_name
زمرد,صندوق س.كالاي زمرد بيدار,blacklist_name
اراد2434,مرابحه عام دولت243-ش.خ070906,blacklist_name
شپنا,پالايش نفت اصفهان,no_signals_or_low_gain
اطلس,صندوق س.توسعه اطلس مفيد-س,blacklist_name
دوايكس,ص.س.اهرمي شاخصي كيان-س,blacklist_name
تاپيكو,س. نفت و گاز و پتروشيمي تأمين,no_signals_or_low_gain
داريك,صندوق س.اعتماد داريك-د,blacklist_name
آكورد,صندوق س. آرمان آتي كوثر-د,blacklist_name
شيلد,صندوق س مشترك پارس-مختلط,blacklist_name
زرفام,صندوق س.پشتوانه طلا زرفام آشنا,blacklist_name
تابش,صندوق س.پشتوانه طلا تابان تمدن,blacklist_name
اصيل,صندوق درآمدثابت مشترك البرز-د,blacklist_name
امين شهر,ص.س. املاك و مستغلات امين شهر,blacklist_name
آلومينا,آلوميناي ايران,no_signals_or_low_gain
ساحل,ص.ساحل سرمايه امن خليج فارس-د,blacklist_name
زروان,صندوق س.پشتوانه طلازروان ويستا,blacklist_name
همسنگ,صندوق س. شاخصي هم وزن همسنگ-س,blacklist_name
وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,no_signals_or_low_gain
ديبا,صندوق س اوراق دولتي صبا-ثابت,blacklist_name
كچاد,معدني‌وصنعتي‌چادرملو,no_signals_or_low_gain
