,,,,,,,,,,,,,,,,,,,,,,
دیده بان بازار : 1404/09/19 - زمان آخرین معامله : 16:50:47,,,,,,,,,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد
آرين سلامت08,مرابحه آرين سلامت سينا080430,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
كحافظ,كاشي‌ وسراميك‌ حافظ‌,556,41096323,62309452297,1503,1500,1520,17.00,1.13,1516,13.00,0.86,1483,1534,329,4.61,1,3733,1509,1520,58845,1
طب نوين05,مرابحه طب پلاستيك نوين14050814,0,0,0,1067500,0,1067500,0,0,1067500,0,0,0,0,,,1,5000,1030000,1050000,5000,1
شخارك,پتروشيمي‌ خارك‌,149,325516,27828601080,85150,85840,85460,310.00,0.36,85240,90.00,0.11,85410,85840,5284,16.13,1,1810,85440,85460,103,1
شيراز,پتروشيمي‌شيراز,406,4545731,1.94993E+11,41690,42900,42940,"1,250.00",3.00,42900,"1,210.00",2.90,41750,42940,4622,9.28,62,1899021,42940,43850,1000,1
كبافق,معادن‌ بافق‌,70,1118859,26136546240,22680,23360,23360,680.00,3.00,23360,680.00,3.00,23360,23360,2048,11.41,57,2773627,23360,0,0,0
فايرا,آلومينيوم‌ايران‌,406,14365053,68891038404,4775,4900,4763,-12.00,-0.25,4787,12.00,0.25,4762,4900,653,7.33,2,17596,4762,4763,43290,1
تپسي,پيشگامان فن آوري و دانش آراميس,1743,45204919,7.23592E+11,16000,16000,16020,20.00,0.13,16010,10.00,0.06,16000,16190,-1575,-10.17,11,1005939,16000,16020,1623,2
چدن,توليدي چدن سازان,880,66364532,1.21013E+11,1774,1770,1827,53.00,2.99,1823,49.00,2.76,1751,1827,372,4.9,4,555115,1827,0,0,0
عكرمان5,سلف موازي استاندارد كرمان,0,0,0,1813534,0,1813534,0,0,1813534,0,0,0,0,,,1,32400,1843777,1844867,32400,1
صاميا601,صكوك مرابحه خزاميا601-3ماهه18%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,12500,990000,1000000,12500,1
آبارا07,مرابحه صنايع پمپ آبارا070224,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
زمرد كوروش4,صندوق س زمرد كوروش-ثابت,1,10722587,1.49945E+11,13968,13984,13984,16.00,0.11,13984,16.00,0.11,13984,13984,,,0,0,0,0,0,0
كاريس,صندوق س.سپند كاريزما-س,201,1330456,56175718708,41615,41895,42426,811.00,1.95,42223,608.00,1.46,41621,42615,,,3,127388,42203,42451,142743,1
شتهران,داروسازي تهران شيمي,7,97046,743372360,7730,7660,7660,-70.00,-0.91,7660,-70.00,-0.91,7660,7660,288,26.6,0,0,0,7660,373038,22
همسنگ,صندوق س. شاخصي هم وزن همسنگ-س,7819,81896253,8.64132E+11,10322,10443,10631,309.00,2.99,10552,230.00,2.23,10443,10631,,,169,2776715,10631,12300,200,1
شاروم,پتروشيمي اروميه,1576,15649765,1.27955E+11,8060,8070,8300,240.00,2.98,8180,120.00,1.49,7840,8300,757,10.81,13,2007593,8300,0,0,0
دلر,داروسازي‌ اكسير,114,5368072,52817607330,9570,9700,9850,280.00,2.93,9840,270.00,2.82,9680,9850,1341,7.34,6,327483,9850,0,0,0
بنكوداريوش,صندوق س.بخشي داريوش3-ب,1,300,3927000,13095,13090,13090,-5.00,-0.04,13090,-5.00,-0.04,13090,13090,,,1,1000000,12850,13090,1999700,2
فيروزا,صندوق ارمغان فيروزه آسيا-ثابت,5416,237660210,1.68421E+13,70776,70866,70866,90.00,0.13,70866,90.00,0.13,70866,70867,,,17,60824023,70866,70867,37445586,5
فوكا,فولاد كاويان,53,384044,3734182810,9590,9690,9710,120.00,1.25,9610,20.00,0.21,9690,9820,,,1,515,9720,9800,5000,1
نطرين,عطرين نخ قم,318,6855487,28774880954,4120,4195,4198,78.00,1.89,4197,77.00,1.87,4095,4243,638,6.58,1,28562,4160,4200,8486,3
ثابت اكسيژن,ص.س.درآمد ثابت اكسيژن-د,90,27378696,4.1685E+11,15207,15226,15225,18.00,0.12,15225,18.00,0.12,15225,15226,,,1,32803122,15225,15226,15149392,1
سمگا,گروه سرمايه گذاري ميراث فرهنگي,1936,104158982,3.80039E+11,3553,3659,3627,74.00,2.08,3649,96.00,2.70,3571,3659,625,5.84,1,2762,3607,3627,122569,1
خاور,ايران خودرو ديزل,2801,390337080,4.33407E+11,1081,1089,1112,31.00,2.87,1110,29.00,2.68,1075,1113,33,33.64,1,121538,1109,1112,5924000,9
آريان,سرمايه گذاري پارس آريان,302,15903830,93031715330,5770,5840,5870,100.00,1.73,5830,60.00,1.04,5770,5920,403,14.47,8,2271075,5800,5880,100000,1
اردستان,سيمان اردستان,644,2506928,57525087820,22680,22900,22980,300.00,1.32,22950,270.00,1.19,22770,23100,4530,5.07,1,134,22950,23000,3036,3
ضمان,صندوق تضمين ا.سرمايه كاريزما-م,28,56893,1585425383,27354,27700,28000,646.00,2.36,27867,513.00,1.88,27700,28000,,,3,6096,27950,28000,57856,2
خليج,صندوق س.گنجينه مينوخليج فارس-س,0,0,0,18134,0,18134,0,0,18134,0,0,0,0,,,1,20000,17950,18210,250000,1
فروي,ذوب روي اصفهان,433,12767735,31363455657,2388,2459,2447,59.00,2.47,2456,68.00,2.85,2418,2459,241,10.19,4,189779,2447,2484,2500,1
نيك گستر,صندوق س توسعه سرمايه نيكي-ثابت,9,105144,10261956256,97485,97599,97599,114.00,0.12,97599,114.00,0.12,97599,97600,,,1,1902856,97599,97600,994720,2
فزر,پويا زركان آق دره,18859,48130872,4.70011E+12,100550,97550,99000,"-1,550.00",-1.54,97650,"-2,900.00",-2.88,97550,99100,5587,17.48,1,20292,99000,99050,18037,4
ثروتم,صندوق س. ثروت آفرين پارسيان-س,22,102765,28960955224,282109,277256,280572,"-1,537.00",-0.54,281817,-292.00,-0.10,277256,285352,,,3,28,280572,283631,1080,4
پيشرو07,مرابحه اورند پيشرو070403,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
عبهروز,سلف موازي سس مايونز بهروز,0,0,0,1034769,0,1034769,0,0,1034769,0,0,0,0,,,1,28789,1042065,1062906,28225,1
كرمان532,مرابحه كرمان موتور-سپهر050327,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,10000,990000,1000000,10000,1
غديس,پاكديس,672,4052893,1.25615E+11,30650,30950,31550,900.00,2.94,31000,350.00,1.14,30000,31550,6193,5.01,3,26504,31500,31550,27880,1
سيلام,سيمان‌ ايلام‌,126,1432453,22501773470,15260,15670,15710,450.00,2.95,15710,450.00,2.95,15670,15710,1526,10.29,33,769258,15710,16520,650,1
سمازن,سيمان‌مازندران‌,328,1258116,57319547820,44630,45890,45800,"1,170.00",2.62,45560,930.00,2.08,45100,45890,7814,5.83,2,871,45700,45800,69702,2
ولپارس,ليزينگ پارسيان,750,5455981,14506043749,2587,2606,2664,77.00,2.98,2654,67.00,2.59,2579,2664,460,5.77,20,2427605,2664,2666,2189,3
ولصنم,ليزينگ‌صنعت‌ومعدن‌,422,13614990,40765792036,2954,2897,3000,46.00,1.56,2994,40.00,1.35,2894,3042,465,6.44,1,300000,2987,3027,10000,1
مفاخر,توسعه فناوري اطلاعات خوارزمي,153,1303116,8206290980,6260,6270,6340,80.00,1.28,6280,20.00,0.32,6240,6380,127,49.45,1,50000,6290,6350,4479,1
قم0612,مشاركت ش قم0612-3 ماهه 20.5%,0,0,0,1009999,0,1009999,0,0,1009999,0,0,0,0,,,1,5000,1000000,1009999,3180,1
سصفها,سيمان‌اصفهان‌,903,2261403,55671848060,24530,24480,24590,60.00,0.24,24620,90.00,0.37,24470,24960,1553,15.85,6,1260,24590,24590,65599,2
غكورش2,صنعت غذايي كورش,1,10000000,53700000000,5340,5370,5370,30.00,0.56,5370,30.00,0.56,5370,5370,976,5.5,0,0,0,0,0,0
تكمبا,كمباين‌ سازي‌ ايران‌,240,1769931,11747494540,6600,6660,6670,70.00,1.06,6630,30.00,0.45,6530,6770,1058,6.27,2,26057,6590,6680,30000,1
شفارس,صنايع‌ شيميايي‌ فارس‌,1288,78405858,1.3116E+11,1630,1644,1677,47.00,2.88,1673,43.00,2.64,1630,1678,122,13.71,2,45000,1671,1677,60505,1
