symbol,name,reason
دانيك,ص.س.املاك ومستغلات نيك راي,blacklist
صنم,ص.س.صندوق در صندوق صنم,blacklist
ارزش مسكن,ص.س.املاك ومستغلات ارزش مسكن,blacklist
همگام,صندوق س. درآمد ثابت همگام-د,blacklist
كاشانه,ص.س املاك وم.كاشانه خليج فارس,blacklist
كارما,صندوق س.درآمد ثابت كيهان-د,blacklist
پايش,ص.س. درآمد ثابت پايش-د,blacklist
ترنج ثابت,ص.س.درآمد ثابت ترنج سودمند-د,blacklist
بورس,بورس اوراق بهادار تهران,blacklist
خوشه,ص.س.صندوق در صندوق خوشه گندم,blacklist
تسه1403,امتياز تسهيلات مسكن سال1403,blacklist
امين يكم,صندوق درآمد ثابت امين يكم فردا,blacklist
هدف,ص.س.دثابت مشترك صباي هدف-د,blacklist
ماني,صندوق س. با درآمد ثابت ماني,blacklist
مالك آتيه,ص.س.املاك و مستغلات مالك آتيه,blacklist
كمند4,صندوق س. با درآمد ثابت كمند,blacklist
تصميم,صندوق س با درآمد ثابت تصميم,blacklist
ثابت اكسيژن,ص.س.درآمد ثابت اكسيژن-د,blacklist
خزانه ملت,صندوق س.مختص اوراق دولتي ملت-د,blacklist
تسه1404,امتياز تسهيلات مسكن سال1404,blacklist
سام,صندوق س.درآمد ثابت سام-د,blacklist
اراد2434,مرابحه عام دولت243-ش.خ070906,blacklist
دوايكس,ص.س.اهرمي شاخصي كيان-س,blacklist
امين شهر,ص.س. املاك و مستغلات امين شهر,blacklist
ساحل,ص.ساحل سرمايه امن خليج فارس-د,blacklist
ديبا,صندوق س اوراق دولتي صبا-ثابت,blacklist
كيان4,صندوق س. با درآمد ثابت كيان,blacklist
اراد225,مرابحه عام دولت225-ش.خ060814,blacklist
كارآمد,صندوق س.درآمد ثابت كارآمد-د,blacklist
اراد2114,مرابحه عام دولت211-ش.خ050528,blacklist
صاميا511,صكوك مرابحه خزاميا511-3ماهه18%,blacklist
نارنج اهرم,ص.س. اهرمي نارنج-س,blacklist
ستاره,ص.س.ستاره پايدارسپهر-د,blacklist
كمند,صندوق س. با درآمد ثابت كمند,blacklist
دامون,ص.س. درآمد ثابت آسمان دامون-د,blacklist
موج,ص.س.اهرمي موج فيروزه-س,blacklist
اراد229,مرابحه عام دولت229-ش.خ061028,blacklist
اراد238,مرابحه عام دولت238-ش.خ061022,blacklist
اراد1714,مرابحه عام دولت171-ش.خ060316,blacklist
اراد2294,مرابحه عام دولت229-ش.خ061028,blacklist
كيان,صندوق س. با درآمد ثابت كيان,blacklist
پاسارگاد,صندوق س.درآمد ثابت پاسارگاد-د,blacklist
اراد2184,مرابحه دولت عام218-ش.خ070328,blacklist
اونيكس,ص.س.درآمد ثابت كيميا-د,blacklist
اراد994,مرابحه عام دولت99-ش.خ050723,blacklist
اراد2144,مرابحه عام دولت214-ش.خ061120,blacklist
اراد2204,مرابحه دولت عام220-ش.خ070303,blacklist
اراد2194,مرابحه دولت عام219-ش.خ061003,blacklist
اراد2484,مرابحه عام دولت248-ش.خ060727,blacklist
اراد1624,مرابحه عام دولت162-ش.خ050329,blacklist
اراد1984,مرابحه عام دولت198-ش.خ060524,blacklist
اراد1974,مرابحه عام دولت197-ش.خ060324,blacklist
اراد1814,مرابحه عام دولت181-ش.خ050424,blacklist
اراد2024,مرابحه عام دولت202-ش.خ060530,blacklist
اراد2234,مرابحه عام دولت223-ش.خ070431,blacklist
اراد2404,مرابحه عام دولت240-ش.خ060929,blacklist
اراد1734,مرابحه عام دولت173-ش.خ050620,blacklist
اراد904,مرابحه عام دولت90-ش.خ050217,blacklist
اراد2364,مرابحه عام دولت236-ش.خ070815,blacklist
اراد2164,مرابحه عام دولت216-ش.خ.061128,blacklist
اراد2174,مرابحه دولت عام217-ش.خ.070228,blacklist
اراد2304,مرابحه عام دولت230-ش.خ070628,blacklist
اراد2394,مرابحه عام دولت239-ش.خ070922,blacklist
اراد2044,مرابحه عام دولت204-ش.خ060707,blacklist
