symbol,name,reason
آرين سلامت08,مرابحه آرين سلامت سينا080430,[murabaha] مرابحه
كحافظ,كاشي‌ وسراميك‌ حافظ‌,[sector] نوع صنعت نامعتبر
طب نوين05,مرابحه طب پلاستيك نوين14050814,[murabaha] مرابحه
شخارك,پتروشيمي‌ خارك‌,[sector] نوع صنعت نامعتبر
شيراز,پتروشيمي‌شيراز,[sector] نوع صنعت نامعتبر
كبافق,معادن‌ بافق‌,[warrant_rights] د
فايرا,آلومينيوم‌ايران‌,[sector] نوع صنعت نامعتبر
تپسي,پيشگامان فن آوري و دانش آراميس,[warrant_rights] د
چدن,توليدي چدن سازان,[warrant_rights] د
عكرمان5,سلف موازي استاندارد كرمان,[warrant_rights] د
صاميا601,صكوك مرابحه خزاميا601-3ماهه18%,[murabaha] مرابحه
آبارا07,مرابحه صنايع پمپ آبارا070224,[murabaha] مرابحه
زمرد كوروش4,صندوق س زمرد كوروش-ثابت,[warrant_rights] د
كاريس,صندوق س.سپند كاريزما-س,[warrant_rights] د
شتهران,داروسازي تهران شيمي,[warrant_rights] د
همسنگ,صندوق س. شاخصي هم وزن همسنگ-س,[warrant_rights] د
شاروم,پتروشيمي اروميه,[sector] نوع صنعت نامعتبر
دلر,داروسازي‌ اكسير,[warrant_rights] د
بنكوداريوش,صندوق س.بخشي داريوش3-ب,[warrant_rights] د
فيروزا,صندوق ارمغان فيروزه آسيا-ثابت,[warrant_rights] د
فوكا,فولاد كاويان,[warrant_rights] د
نطرين,عطرين نخ قم,[sector] نوع صنعت نامعتبر
ثابت اكسيژن,ص.س.درآمد ثابت اكسيژن-د,[warrant_rights] د
سمگا,گروه سرمايه گذاري ميراث فرهنگي,[sector] نوع صنعت نامعتبر
خاور,ايران خودرو ديزل,[warrant_rights] د
آريان,سرمايه گذاري پارس آريان,[sector] نوع صنعت نامعتبر
اردستان,سيمان اردستان,[warrant_rights] د
ضمان,صندوق تضمين ا.سرمايه كاريزما-م,[warrant_rights] د
خليج,صندوق س.گنجينه مينوخليج فارس-س,[warrant_rights] د
فروي,ذوب روي اصفهان,[sector] نوع صنعت نامعتبر
نيك گستر,صندوق س توسعه سرمايه نيكي-ثابت,[warrant_rights] د
فزر,پويا زركان آق دره,[warrant_rights] د
ثروتم,صندوق س. ثروت آفرين پارسيان-س,[warrant_rights] د
پيشرو07,مرابحه اورند پيشرو070403,[warrant_rights] د
عبهروز,سلف موازي سس مايونز بهروز,[sector] نوع صنعت نامعتبر
كرمان532,مرابحه كرمان موتور-سپهر050327,[murabaha] مرابحه
غديس,پاكديس,[warrant_rights] د
سيلام,سيمان‌ ايلام‌,[sector] نوع صنعت نامعتبر
سمازن,سيمان‌مازندران‌,[warrant_rights] د
ولپارس,ليزينگ پارسيان,[sector] نوع صنعت نامعتبر
ولصنم,ليزينگ‌صنعت‌ومعدن‌,[warrant_rights] د
مفاخر,توسعه فناوري اطلاعات خوارزمي,[forex_crypto] ارز
قم0612,مشاركت ش قم0612-3 ماهه 20.5%,[sector] نوع صنعت نامعتبر
سصفها,سيمان‌اصفهان‌,[sector] نوع صنعت نامعتبر
تكمبا,كمباين‌ سازي‌ ايران‌,[sector] نوع صنعت نامعتبر
شفارس,صنايع‌ شيميايي‌ فارس‌,[sector] نوع صنعت نامعتبر
غنوش,نوش‌ مازندران‌,[warrant_rights] د
بالاس,مهندسي ساختمان تاسيسات راه آهن,[warrant_rights] د
اهداف062,اجاره اهداف كيميا14061104,[warrant_rights] د
مصفها512,مشاركت ش اصفهان512-3ماهه18%,[sector] نوع صنعت نامعتبر
اراد2434,مرابحه عام دولت243-ش.خ070906,[warrant_rights] د
لبخند,صندوق س. لبخند فارابي-د,[warrant_rights] د
قشهد,شهد,[warrant_rights] د
پويا,ص.ج.پويا الگوريتم70%تاديه,[warrant_rights] د
كلور083,مرابحه كلور-آواي زاگرس14080208,[murabaha] مرابحه
وملت,سرمايه گذاري ملت,[sector] نوع صنعت نامعتبر
دريا,صندوق س درياي آبي فيروزه-سهام,[warrant_rights] د
ولراز,ليزينگ رازي,[sector] نوع صنعت نامعتبر
ثمين,صندوق س. ثروت افزون ثمين-س,[warrant_rights] د
عماديران,سلف موازي كولر گازي ماديران,[warrant_rights] د
زپارس,ملي كشت و صنعت و دامپروري پارس,[warrant_rights] د
جام,صندوق س.مبتني بر كالاي فارابي,[warrant_rights] د
طب نوين08,مرابحه طب پلاستيك نوين 080514,[murabaha] مرابحه
صقرن612,صكوك مرابحه قرن612-3ماهه18%,[murabaha] مرابحه
زاگرس,پتروشيمي زاگرس,[sector] نوع صنعت نامعتبر
شاملا,معدني‌ املاح‌  ايران‌,[warrant_rights] د
صايپا049,صكوك مرابحه صايپا049-3ماهه 18%,[murabaha] مرابحه
تملي1403,امتيازتسهيلات ملي سال 1403,[housing] تس
اراد2204,مرابحه دولت عام220-ش.خ070303,[warrant_rights] د
وسديد,گروه ‌صنعتي‌سديد,[warrant_rights] د
تابان23,اجاره تابان فردا نوين14080418,[warrant_rights] د
شساخت,مهندسي و ساختمان صنايع نفت,[warrant_rights] د
درازي,پخش رازي,[warrant_rights] د
قم042,مشاركت ش قم042-3ماهه18%,[sector] نوع صنعت نامعتبر
دفارا4,داروسازي‌ فارابي‌,[warrant_rights] د
تدبير05,اجاره ش. توسعه تدبير14050717,[warrant_rights] د
دزهراوي,داروسازي‌زهراوي‌,[warrant_rights] د
پوراطب071,مرابحه پوراطب گستر-آگاه070106,[murabaha] مرابحه
كاله071,مرابحه سوليكو كاله-تمدن070125,[warrant_rights] د
آرمان سلولز06,مرابحه آرمان سلولز يزد060710,[warrant_rights] د
مكرما42,مشاركت ش كرمانشاه42-3ماهه18%,[sector] نوع صنعت نامعتبر
