نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد
اخابر,مخابرات ايران,7969,1315904887,682945000000.0,505,520,520,15.00,2.97,519,14.00,2.77,510,520,54.0,9.61,52,15077602,520,0,0,0
شتران,پالايش نفت تهران,9755,463011592,1567210000000.0,3396,3351,3405,9.00,0.27,3385,-11.00,-0.32,3300,3429,710.0,4.77,1,31131,3402,3405,274725,1
فملي,ملي‌ صنايع‌ مس‌ ايران‌,14019,257350241,2724170000000.0,10670,10550,10600,-70.00,-0.66,10590,-80.00,-0.75,10350,10790,813.0,13.03,20,756975,10590,10600,39000,1
شپنا,پالايش نفت اصفهان,7424,189976685,1072580000000.0,5640,5640,5660,20.00,0.35,5650,10.00,0.18,5490,5720,1026.0,5.51,4,206336,5650,5670,31169,2
فاذر,صنايع‌ آذرآب‌,1089,85965161,78982261179.0,895,920,921,26.00,2.91,919,24.00,2.68,905,921,42.0,21.88,4,714126,921,931,400000,1
ثمسكن,سرمايه‌گذاري‌ مسكن‌,816,54423483,120959000000.0,2160,2224,2224,64.00,2.96,2223,63.00,2.92,2200,2224,324.0,6.86,4,654035,2224,0,0,0
تاپيكو,س. نفت و گاز و پتروشيمي تأمين,1793,53062754,994872000000.0,18230,18340,18770,540.00,2.96,18750,520.00,2.85,18250,18770,2011.0,9.32,194,14229432,18770,18800,2000,1
حفارس,حمل و نقل بين المللي خليج فارس,600,52997195,124500000000.0,2286,2243,2354,68.00,2.97,2349,63.00,2.76,2243,2354,77.0,30.51,9,2609898,2354,2404,17505,4
لكما,كارخانجات‌مخابراتي‌ايران‌,443,52291463,68365256829.0,1338,1330,1315,-23.00,-1.72,1307,-31.00,-2.32,1298,1339,234.0,5.59,1,227997,1311,1316,632000,1
شسپا,نفت سپاهان,750,50500091,406021000000.0,7810,8040,8040,230.00,2.94,8040,230.00,2.94,8040,8040,986.0,8.15,119,16538750,8040,8080,200000,1
سرچشمه,سرمايه گذاري مس سرچشمه,611,34257771,147617000000.0,4186,4300,4290,104.00,2.48,4309,123.00,2.94,4290,4311,734.0,5.87,1,25000,4280,4290,51890,1
نان,صنايع غذايي رضوي,6229,26530380,100120000000.0,3688,3689,3797,109.00,2.96,3774,86.00,2.33,3646,3798,514.0,7.34,1,2621,3752,3798,41293,19
حگهر,حمل و نقل گهرترابر سيرجان,450,24068891,88272152215.0,3592,3642,3690,98.00,2.73,3667,75.00,2.09,3592,3699,418.0,8.77,2,20000,3682,3699,255378,2
شبريز,پالايش نفت تبريز,2824,20603415,480138000000.0,23180,23180,23410,230.00,0.99,23300,120.00,0.52,22840,23560,5112.0,4.56,1,1000,23400,23410,14459,2
ثغرب,شركت سرمايه گذاري مسكن شمالغرب,425,16045099,68587042199.0,4207,4100,4333,126.00,3.00,4275,68.00,1.62,4081,4333,417.0,10.25,30,2808073,4333,0,0,0
پارسان,گسترش نفت و گاز پارسيان,1142,15859692,1217260000000.0,74610,76150,76840,"2,230.00",2.99,76750,"2,140.00",2.87,74990,76840,5520.0,13.9,16,157166,76840,77640,11739,7
ممسني2,پتروشيمي ممسني,1,13800000,90390000000.0,6560,6550,6550,-10.00,-0.15,6550,-10.00,-0.15,6550,6550,-48.0,-136.46,0,0,0,0,0,0
ونفت,سرمايه‌گذاري‌ صنعت‌ نفت‌,423,13346401,72057218999.0,5242,5399,5399,157.00,3.00,5399,157.00,3.00,5399,5399,873.0,6.18,14,1629386,5399,0,0,0
آبين,كشت و صنعت آبشيرين,195,10483556,31235588425.0,2916,3003,3000,84.00,2.88,2979,63.00,2.16,2935,3003,340.0,8.76,1,20000,2950,3001,108000,1
شبهرن,نفت‌ بهران‌,678,10271681,199947000000.0,18940,19200,19500,560.00,2.96,19470,530.00,2.80,18600,19500,1951.0,9.98,80,3417720,19500,0,0,0
